,ID,Crop_Damage
0,F00000002,0
1,F00000011,1
2,F00000014,1
3,F00000015,0
4,F00000016,1
5,F00000019,1
6,F00000025,0
7,F00000031,1
8,F00000032,1
9,F00000033,0
10,F00000034,1
11,F00000036,1
12,F00000040,1
13,F00000041,1
14,F00000043,1
15,F00000046,1
16,F00000047,1
17,F00000051,1
18,F00000053,1
19,F00000057,1
20,F00000060,1
21,F00000061,1
22,F00000064,0
23,F00000066,0
24,F00000069,0
25,F00000070,0
26,F00000073,0
27,F00000088,0
28,F00000093,0
29,F00000094,0
30,F00000098,0
31,F00000099,0
32,F00000101,0
33,F00000102,0
34,F00000110,0
35,F00000112,0
36,F00000114,0
37,F00000128,0
38,F00000132,0
39,F00000138,0
40,F00000142,0
41,F00000144,0
42,F00000146,0
43,F00000149,0
44,F00000152,0
45,F00000158,0
46,F00000161,0
47,F00000170,0
48,F00000172,0
49,F00000173,0
50,F00000179,0
51,F00000184,0
52,F00000186,0
53,F00000194,0
54,F00000195,1
55,F00000200,1
56,F00000201,0
57,F00000207,0
58,F00000208,0
59,F00000214,0
60,F00000216,0
61,F00000222,0
62,F00000224,0
63,F00000225,1
64,F00000226,0
65,F00000227,0
66,F00000233,0
67,F00000236,0
68,F00000237,1
69,F00000239,0
70,F00000244,0
71,F00000246,0
72,F00000248,0
73,F00000251,0
74,F00000252,0
75,F00000255,0
76,F00000258,0
77,F00000259,0
78,F00000260,0
79,F00000270,1
80,F00000271,0
81,F00000272,0
82,F00000274,0
83,F00000286,0
84,F00000288,0
85,F00000289,0
86,F00000298,0
87,F00000300,0
88,F00000301,0
89,F00000302,1
90,F00000303,0
91,F00000307,0
92,F00000312,0
93,F00000314,0
94,F00000316,1
95,F00000325,0
96,F00000326,1
97,F00000328,0
98,F00000336,0
99,F00000340,0
100,F00000344,0
101,F00000347,0
102,F00000349,1
103,F00000350,0
104,F00000357,0
105,F00000361,0
106,F00000365,0
107,F00000368,0
108,F00000374,1
109,F00000381,1
110,F00000382,0
111,F00000388,0
112,F00000395,0
113,F00000406,1
114,F00000408,0
115,F00000411,0
116,F00000412,0
117,F00000415,0
118,F00000416,0
119,F00000418,0
120,F00000424,0
121,F00000426,0
122,F00000429,0
123,F00000430,0
124,F00000440,0
125,F00000443,0
126,F00000446,0
127,F00000447,0
128,F00000450,0
129,F00000451,0
130,F00000463,1
131,F00000466,0
132,F00000468,1
133,F00000472,1
134,F00000480,0
135,F00000483,0
136,F00000486,0
137,F00000491,1
138,F00000494,1
139,F00000497,0
140,F00000500,0
141,F00000509,0
142,F00000511,0
143,F00000512,1
144,F00000522,0
145,F00000533,0
146,F00000534,0
147,F00000548,0
148,F00000549,0
149,F00000554,1
